leaf_path	block_idx	runnability	label	exit_code	bucket	expected_count	actual_lines	expected_match	expected_crash
04_Parameters-Variables-and-Arrays/05_The-declare-builtin-and-attributes.md	6	RUNNABLE	NEUTRAL	0	MISMATCH	2	0	MISSING:2/2	0
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	1	RUNNABLE	MIXED	0	MISMATCH	1	0	MISSING:1/1	0
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	2	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	3	3	MISSING:3/3	0
04_Parameters-Variables-and-Arrays/06_local-and-dynamic-scope.md	4	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	1	RUNNABLE	NEUTRAL	1	CRASH	2	0	-	0
04_Parameters-Variables-and-Arrays/07_readonly-and-immutability.md	2	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
04_Parameters-Variables-and-Arrays/08_export-and-the-environment.md	1	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
04_Parameters-Variables-and-Arrays/08_export-and-the-environment.md	2	RUNNABLE	NEUTRAL	1	CRASH	2	0	-	0
04_Parameters-Variables-and-Arrays/08_export-and-the-environment.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	2	2	MISSING:1/2	0
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	1	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	3	10	MISSING:2/3	0
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	3	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	4	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	4	-	0
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	5	RUNNABLE	NEUTRAL	0	OK	6	6	OK	0
04_Parameters-Variables-and-Arrays/09_Indexed-arrays.md	6	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	1	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	2	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	3	RUNNABLE	RIGHT	0	NO_EXPECTED	0	0	-	0
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	4	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	5	RUNNABLE	NEUTRAL	0	OK	3	3	OK	0
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	6	RUNNABLE	NEUTRAL	1	CRASH	4	3	-	0
04_Parameters-Variables-and-Arrays/10_Associative-arrays.md	7	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	2	RUNNABLE	NEUTRAL	0	OK	3	3	OK	0
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	3	RUNNABLE	NEUTRAL	0	OK	3	3	OK	0
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	4	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
04_Parameters-Variables-and-Arrays/11_Namerefs-n.md	5	RUNNABLE	MIXED	0	MISMATCH	1	0	MISSING:1/1	0
04_Parameters-Variables-and-Arrays/12_Integer-arithmetic-semantics.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	6	7	MISSING:3/6	0
04_Parameters-Variables-and-Arrays/12_Integer-arithmetic-semantics.md	2	RUNNABLE	NEUTRAL	1	CRASH	2	0	-	0
04_Parameters-Variables-and-Arrays/12_Integer-arithmetic-semantics.md	3	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	3	1	MISSING:3/3	0
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	6	6	MISSING:1/6	0
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	3	2	MISSING:2/3	0
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	4	RUNNABLE	NEUTRAL	127	CRASH	0	0	-	0
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	5	RUNNABLE	NEUTRAL	1	CRASH	2	0	-	0
04_Parameters-Variables-and-Arrays/13_Variable-assignment-semantics.md	6	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
04_Parameters-Variables-and-Arrays/14_Unsetting.md	1	RUNNABLE	MIXED	0	MISMATCH	4	13	MISSING:4/4	0
04_Parameters-Variables-and-Arrays/14_Unsetting.md	2	RUNNABLE	NEUTRAL	0	OK	2	2	OK	0
05_Expansions/01_Order-of-expansions.md	1	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
05_Expansions/02_Brace-expansion.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	11	11	MISSING:3/11	0
05_Expansions/02_Brace-expansion.md	2	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
05_Expansions/03_Tilde-expansion.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	7	8	MISSING:4/7	0
05_Expansions/03_Tilde-expansion.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	1	1	MISSING:1/1	0
05_Expansions/03_Tilde-expansion.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	2	2	MISSING:2/2	0
05_Expansions/04_Parameter-and-variable-expansion.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	5	5	MISSING:3/5	0
05_Expansions/04_Parameter-and-variable-expansion.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	6	5	MISSING:6/6	0
05_Expansions/04_Parameter-and-variable-expansion.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	5	5	MISSING:3/5	0
